borough,precinct,crashes,injuries,fatalities
Manhattan,1,5,5,0
Manhattan,5,4,5,0
Manhattan,6,3,4,0
Manhattan,7,4,3,0
Manhattan,9,7,2,0
Manhattan,10,2,1,0
Manhattan,13,2,2,0
Manhattan,14,1,0,0
Manhattan,17,2,1,0
Manhattan,18,2,2,0
Manhattan,19,0,0,0
Manhattan,20,2,1,0
Manhattan,22,17,19,0
Manhattan,23,0,0,0
Manhattan,24,1,1,0
Manhattan,25,2,3,0
Manhattan,26,0,0,0
Manhattan,28,0,0,0
Manhattan,30,1,1,0
Manhattan,32,0,0,0
Manhattan,33,0,0,0
Manhattan,34,1,0,0
Bronx,40,1,0,0
Bronx,41,0,0,0
Bronx,42,0,0,0
Bronx,43,1,1,0
Bronx,44,0,0,0
Bronx,45,1,1,0
Bronx,46,0,0,0
Bronx,47,0,0,0
Bronx,48,0,0,0
Bronx,49,1,1,0
Bronx,50,0,0,0
Bronx,52,0,0,0
Brooklyn,60,0,0,0
Brooklyn,61,0,0,0
Brooklyn,62,1,1,0
Brooklyn,63,0,0,0
Brooklyn,66,2,2,0
Brooklyn,67,1,0,0
Brooklyn,68,2,3,0
Brooklyn,69,0,0,0
Brooklyn,70,0,0,0
Brooklyn,71,0,0,0
Brooklyn,72,2,3,0
Brooklyn,73,0,0,0
Brooklyn,75,0,0,0
Brooklyn,76,1,0,0
Brooklyn,77,1,0,0
Brooklyn,78,4,6,0
Brooklyn,79,3,2,0
Brooklyn,81,0,0,0
Brooklyn,83,1,1,0
Brooklyn,84,2,2,0
Brooklyn,88,0,0,0
Brooklyn,90,4,3,0
Brooklyn,94,2,3,0
Queens,100,0,0,0
Queens,101,0,0,0
Queens,102,0,0,0
Queens,103,0,0,0
Queens,104,1,0,0
Queens,105,0,0,0
Queens,106,0,0,0
Queens,107,0,0,0
Queens,108,2,2,0
Queens,109,0,0,0
Queens,110,0,0,0
Queens,111,0,0,0
Queens,112,0,0,0
Queens,113,0,0,0
Queens,114,0,0,0
Queens,115,2,1,0
StatenIsland,120,0,0,0
StatenIsland,121,0,0,0
StatenIsland,122,0,0,0
StatenIsland,123,0,0,0
