borough,precinct,crashes,injuries_pedestrian,fatalities_pedestrian,injuries,fatalities
Manhattan,1,5,5,0,1,0
Manhattan,5,10,7,0,2,0
Manhattan,6,17,16,0,2,0
Manhattan,7,7,6,0,1,0
Manhattan,9,14,13,0,3,0
Manhattan,10,4,3,0,2,0
Manhattan,13,17,17,1,3,0
Manhattan,14,19,16,0,2,0
Manhattan,17,16,16,0,2,0
Manhattan,18,23,22,1,2,0
Manhattan,19,14,11,0,1,0
Manhattan,20,10,9,0,0,0
Manhattan,22,23,12,0,11,1
Manhattan,23,2,1,0,0,0
Manhattan,24,7,6,0,0,0
Manhattan,25,4,4,0,0,0
Manhattan,26,1,0,0,1,0
Manhattan,28,5,5,0,1,0
Manhattan,30,3,3,0,0,0
Manhattan,32,4,3,0,1,0
Manhattan,33,3,2,0,0,0
Manhattan,34,1,0,0,0,0
Bronx,40,5,5,0,1,0
Bronx,41,3,3,0,0,0
Bronx,42,0,0,0,0,0
Bronx,43,2,2,0,0,0
Bronx,44,6,7,0,0,0
Bronx,45,0,0,0,0,0
Bronx,46,5,5,0,0,0
Bronx,47,0,0,0,0,0
Bronx,48,2,2,0,0,0
Bronx,49,1,1,0,0,0
Bronx,50,0,0,0,0,0
Bronx,52,10,11,0,1,0
Brooklyn,60,2,2,0,1,0
Brooklyn,61,3,3,0,0,0
Brooklyn,62,6,6,0,1,0
Brooklyn,63,2,2,0,0,0
Brooklyn,66,8,8,0,0,0
Brooklyn,67,1,1,0,0,0
Brooklyn,68,1,1,0,0,0
Brooklyn,69,0,0,0,0,0
Brooklyn,70,5,5,0,0,0
Brooklyn,71,5,4,0,2,0
Brooklyn,72,5,6,0,0,0
Brooklyn,73,2,2,0,0,0
Brooklyn,75,3,3,0,0,0
Brooklyn,76,1,0,0,1,0
Brooklyn,77,3,3,0,0,0
Brooklyn,78,17,18,0,6,0
Brooklyn,79,3,3,0,0,0
Brooklyn,81,1,1,0,0,0
Brooklyn,83,7,7,0,0,0
Brooklyn,84,12,9,0,5,0
Brooklyn,88,1,1,0,0,0
Brooklyn,90,10,8,0,1,0
Brooklyn,94,1,1,0,0,0
Queens,100,0,0,0,0,0
Queens,101,0,0,0,0,0
Queens,102,2,2,0,0,0
Queens,103,1,1,0,0,0
Queens,104,5,5,0,0,0
Queens,105,1,1,0,1,0
Queens,106,1,1,0,0,0
Queens,107,2,2,0,0,0
Queens,108,5,5,0,1,0
Queens,109,5,5,0,0,0
Queens,110,6,5,0,0,0
Queens,111,0,0,0,0,0
Queens,112,0,0,0,0,0
Queens,113,0,0,0,0,0
Queens,114,2,2,0,0,0
Queens,115,7,6,0,0,0
StatenIsland,120,2,2,0,1,0
StatenIsland,121,0,0,0,0,0
StatenIsland,122,0,0,0,0,0
StatenIsland,123,0,0,0,0,0
